transaction_id,customer_id,transaction_date,amount,currency,transaction_type,channel,merchant_name,merchant_category,location_country,location_city,is_flagged
53a91b71-a99e-444e,9e3cbf41-255d-41d5,2023-08-01 00:17:30,6096.92,JPY,purchase,telephone,ASOS,Electronics,Japan,Tokyo,False
66416bdb-884d-45d7,f6902723-6e1a-49d9,2024-03-07 18:14:34,1220.06,AED,transfer,in-branch,Uniqlo,Health & Beauty,UAE,Al Ain,False
7a1a0779-b7d0-477c,774b30be-1d22-4c5e,2024-02-14 22:40:25,5264.31,EUR,payment,mail,Allegro,Fashion,Germany,Dresden,False
6172692d-d635-4b2e,1c9259eb-77e7-42ba,2024-03-22 04:49:04,4668.01,USD,payment,in-branch,BigBasket,Health & Beauty,United States,Seattle,False
ec8d1af9-31c7-4899,14d363ed-827b-46a0,2023-08-30 12:15:08,6294.48,QAR,refund,ATM,eBay,Electronics,Qatar,Umm Salal,False
927721f0-ebfe-493c,4b2ce88a-05ac-4c6a,2024-04-09 19:14:53,1352.04,EUR,refund,telephone,BigBasket,Fashion,Germany,Nuremberg,False
6156bbbc-0814-4439,dda8878b-7512-478f,2023-09-22 18:22:38,5535.73,EUR,refund,mobile,Zalando,Sports & Outdoors,Germany,Nuremberg,False
61ee09ef-1267-4d80,f84f35e8-7d29-444f,2022-12-22 07:49:21,3376.36,EUR,purchase,mobile,BigBasket,Sports & Outdoors,Germany,Dresden,False
2f957a42-70a8-400c,dae3d7cf-525a-48b8,2023-10-01 10:06:12,8959.13,GBP,deposit,mobile,Temu,Fashion,United Kingdom,Leeds,False
d08de06e-db30-4add,4d11c196-a6e8-4653,2023-03-19 15:07:17,8409.52,QAR,purchase,mobile,Allegro,Fashion,Qatar,Al Khor,False
5fb5c748-eb9f-4e28,4c4706e2-855c-4a79,2024-08-15 16:28:43,9724.98,INR,deposit,mail,Allegro,Home & Garden,India,Kolkata,False
e1a14166-2ad9-4853,604150fe-6ea2-42c5,2024-06-30 04:56:45,3664.86,USD,transfer,telephone,Saturn,Home & Garden,United States,San Francisco,False
f981586a-88cc-4bcc,c80ff50c-be80-4083,2022-09-15 14:18:06,8490.97,JPY,payment,telephone,Temu,Sports & Outdoors,Japan,Osaka,False
dd1b3f15-81d0-4c79,cba39dc5-53b1-4e6d,2022-12-10 04:57:21,7350.79,GBP,refund,online,ASOS,Health & Beauty,United Kingdom,Edinburgh,False
9aa31a0c-af9a-4dc8,9f35d1fb-ccd4-4547,2023-10-27 11:49:33,3389.33,INR,transfer,mail,Allegro,Home & Garden,India,Jaipur,False
a01f5b84-d1ea-448c,4571aca1-e563-4903,2023-08-25 12:44:41,4174.29,GBP,refund,mobile,Lazada,Electronics,United Kingdom,Sheffield,False
1f348833-0836-4741,ba0635a3-bde3-4e2a,2022-09-03 08:55:58,1275.8,GBP,purchase,mobile,Uniqlo,Home & Garden,United Kingdom,Leeds,False
9084a187-8841-4a2b,948a843d-12b5-4517,2024-02-10 05:52:17,3575.07,JPY,deposit,mail,BigBasket,Home & Garden,Japan,Tokyo,False
f1567888-a61f-4914,414b5669-6bd7-4e2d,2023-03-13 23:43:38,6223.35,EUR,refund,mobile,Saturn,Fashion,Germany,Leipzig,False
12473be9-df9f-48e0,cc974139-6724-4d1d,2023-04-05 03:06:45,7391.74,USD,purchase,mail,ASOS,Fashion,United States,Boston,False
908929cc-0f5e-4d3f,1bba108b-687a-42ae,2023-10-15 08:45:28,6439.7,QAR,withdrawal,mail,Target,Fashion,Qatar,Al Rayyan,False
a362ce5d-95ed-4004,ec9360ec-a79d-47f8,2023-12-13 15:33:36,3327.02,JPY,payment,telephone,Temu,Home & Garden,Japan,Tokyo,False
5f17ab9e-e3a4-454b,f923de0b-93b5-4bc7,2023-09-15 05:08:35,1454.03,AED,purchase,in-branch,Rakuten,Health & Beauty,UAE,Dubai,False
ecb5fa48-ba9b-4034,4ac537ef-ad98-4b56,2024-07-30 17:52:07,538.78,QAR,transfer,mobile,Saturn,Health & Beauty,Qatar,Al Wakrah,False
8b687e74-03a0-49aa,08865d16-ab41-4d47,2023-02-11 17:33:21,522.04,QAR,transfer,in-branch,Rakuten,Home & Garden,Qatar,Al Rayyan,False
7f4f12d6-ae15-4f83,be562616-fe94-42df,2023-01-08 16:12:58,2951.19,USD,deposit,mail,Allegro,Electronics,United States,Boston,False
15e7e42f-ee62-41f6,14378843-37dc-46fc,2024-03-29 22:45:46,9870.42,INR,deposit,mobile,Lazada,Electronics,India,Ahmedabad,False
a1aa518a-6a65-492d,80d2ef2f-dc25-4fbd,2023-10-01 22:20:13,5190.5,USD,deposit,in-branch,Temu,Fashion,United States,Dallas,False
ee7897a9-1ff0-4cb2,fd7a5dcc-d66a-478b,2023-08-13 06:34:57,5510.23,QAR,transfer,mail,Lazada,Home & Garden,Qatar,Al Khor,False
80f510cc-4b60-430b,ba0635a3-bde3-4e2a,2023-02-20 23:28:38,4701.61,GBP,refund,telephone,eBay,Sports & Outdoors,United Kingdom,Edinburgh,False
6038fa94-0474-4776,3132b343-e960-42e3,2024-04-28 00:03:54,2892.2,AED,deposit,telephone,Allegro,Fashion,UAE,Abu Dhabi,False
f0c1ebc5-e8f3-4026,4ac537ef-ad98-4b56,2023-09-03 12:24:27,4225.04,QAR,purchase,ATM,ASOS,Sports & Outdoors,Qatar,Umm Salal,False
3340ef74-0b5d-4181,2ee25869-b828-4a14,2024-03-17 19:30:15,8748.04,JPY,transfer,online,Lazada,Health & Beauty,Japan,Fukuoka,False
a89bcb96-e394-4d3b,9538c672-1547-44e3,2023-05-11 10:48:37,1373.17,QAR,purchase,ATM,Temu,Health & Beauty,Qatar,Doha,False
c8b79c53-c153-456f,c1700eda-9558-40e9,2024-03-25 19:45:21,9683.56,JPY,transfer,in-branch,Uniqlo,Fashion,Japan,Nagoya,False
133431c5-8523-42d4,8fa31d66-73f2-464e,2023-03-10 12:12:41,5103.17,GBP,transfer,ATM,Allegro,Home & Garden,United Kingdom,Leeds,False
cedd224a-5ea4-45cb,c27d7b5d-e29c-4323,2022-10-02 06:40:51,3688.35,AED,payment,mail,BigBasket,Fashion,UAE,Dubai,False
77cdafa8-7b51-4d48,b416d157-d767-46b2,2023-03-09 10:19:04,2201.16,EUR,deposit,in-branch,Target,Fashion,Germany,Stuttgart,False
563591e1-cc5a-49e3,0cdc5d2e-04aa-4441,2023-09-17 13:33:29,2968.38,QAR,payment,mail,eBay,Home & Garden,Qatar,Al Wakrah,False
b9b506cc-80c2-4c75,d3866002-2488-4c1c,2023-11-27 14:43:31,8794.8,JPY,purchase,mail,Saturn,Sports & Outdoors,Japan,Nagoya,False
1f75faaa-878a-4711,65d5b0ba-637f-4f6d,2023-03-09 03:51:44,3866.91,QAR,payment,ATM,Zalando,Health & Beauty,Qatar,Doha,False
12b3ba23-cbd3-469e,e9f4b9bc-f4e4-40b8,2024-01-20 13:38:35,3920.52,EUR,deposit,in-branch,Temu,Sports & Outdoors,Germany,Dresden,False
b56d6e5b-0592-4741,97c1c5c3-feab-44f7,2023-05-06 05:57:33,9425.06,AED,transfer,in-branch,Target,Health & Beauty,UAE,Dubai,False
555d88c5-37c4-4509,b4a06f8e-23e2-43e3,2023-01-20 00:19:06,2054.65,JPY,payment,online,Mediamarkt,Health & Beauty,Japan,Osaka,False
6b73e68f-0298-4f81,ecde51c8-1462-49e1,2023-05-08 21:39:51,9207.74,AED,withdrawal,mail,Lazada,Fashion,UAE,Dubai,False
50f7777b-bf59-4025,508f2b08-407c-463c,2023-05-28 17:27:28,7400.95,USD,withdrawal,ATM,Allegro,Fashion,United States,Seattle,False
f511c392-0311-4ceb,d0e3585c-27b6-42a9,2023-07-01 04:50:31,2138.51,USD,transfer,mobile,Zalando,Sports & Outdoors,United States,San Francisco,False
54136ffb-13f5-4884,64054578-da67-4d73,2022-09-21 21:22:34,8439.4,AED,refund,telephone,Mediamarkt,Electronics,UAE,Ajman,False
e39c5b2f-2080-48d0,8fc032ea-8bb9-4006,2024-01-22 11:45:50,9324.94,GBP,transfer,ATM,Allegro,Home & Garden,United Kingdom,Edinburgh,False
ed725374-61b6-4f96,f1a10feb-0201-4bda,2023-05-10 07:54:13,6952.5,GBP,purchase,telephone,Mediamarkt,Fashion,United Kingdom,Bristol,False
69eb72a7-c6b8-4cbe,ee76b85d-2727-4344,2023-02-16 00:38:23,9581.73,JPY,purchase,telephone,Allegro,Health & Beauty,Japan,Fukuoka,False
d0ea8d9f-cf3a-4894,78e881b2-4e7b-4e38,2024-06-20 12:07:30,8865.15,USD,withdrawal,telephone,Uniqlo,Electronics,United States,Seattle,False
1a19b65a-9fc6-48e5,2c7c6f46-6b3b-452c,2023-09-12 01:58:08,8722.6,GBP,payment,in-branch,Uniqlo,Home & Garden,United Kingdom,Edinburgh,False
c72ffe43-bed0-4c92,32778eba-976b-4348,2022-10-17 04:26:04,6314.39,USD,refund,ATM,Rakuten,Fashion,United States,Dallas,False
c82c98f6-7f51-4404,8579d9cc-23de-4ebd,2023-04-05 02:42:36,6468.14,INR,refund,ATM,ASOS,Fashion,India,Kolkata,False
809654e5-813c-41f0,09cade72-7230-4223,2022-12-02 01:51:11,5548.91,INR,payment,mobile,eBay,Electronics,India,Pune,False
15dbe6a2-0531-439e,05a19411-60ee-4536,2023-01-28 11:33:28,7564.51,QAR,payment,in-branch,Rakuten,Home & Garden,Qatar,Doha,False
88b2f46e-580e-4a4c,ad0d2f73-aa32-493c,2023-03-19 12:15:57,4088.09,GBP,transfer,ATM,Mediamarkt,Electronics,United Kingdom,Leeds,True
cbd10c15-8eb4-444a,609f27c8-9fcf-4619,2023-07-31 02:12:14,7825.91,INR,purchase,telephone,Target,Health & Beauty,India,Ahmedabad,False
83bdda62-3ba2-4d8c,01244cf1-476f-4685,2024-05-18 20:24:51,7641.06,JPY,transfer,ATM,BigBasket,Fashion,Japan,Osaka,False
691afad4-261d-4695,35845ce0-cfe2-4dfd,2023-01-05 02:51:26,3995.13,INR,withdrawal,online,Temu,Home & Garden,India,Lucknow,False
8b55b554-6eb3-4323,09bdb732-8b6c-4d26,2023-12-22 13:04:46,6641.72,EUR,payment,mail,Mediamarkt,Electronics,Germany,Stuttgart,False
8c82485e-8d93-46dd,75218902-822c-46de,2023-12-06 08:15:02,4481.54,AED,refund,telephone,Zalando,Fashion,UAE,Al Ain,False
8779783f-6662-4195,7b9be57d-7518-4925,2024-06-29 16:44:10,5247.2,JPY,deposit,ATM,Temu,Health & Beauty,Japan,Tokyo,False
bc51b990-34cf-4716,64054578-da67-4d73,2022-11-05 23:38:23,8388.95,AED,withdrawal,in-branch,Mediamarkt,Sports & Outdoors,UAE,Ajman,False
ec7d76bd-36d5-456b,25fe12ea-55e1-478c,2024-06-14 06:35:33,2701.48,USD,payment,mobile,Saturn,Home & Garden,United States,San Francisco,False
616f3a31-b70f-4239,11f073d7-7d85-4c02,2023-05-17 23:12:47,9565.26,USD,refund,mobile,Mediamarkt,Home & Garden,United States,Miami,False
b8dc5497-2489-4de4,7e644fa4-0275-4d98,2023-05-10 11:54:51,1311.56,AED,deposit,telephone,Zalando,Electronics,UAE,Dubai,False
62089372-c199-4455,45d918e2-9fc9-418b,2023-05-30 02:44:03,2532.03,INR,refund,mail,Mediamarkt,Home & Garden,India,Lucknow,False
c19fbc60-4578-47fc,fa1e8798-3f05-4d3c,2022-11-28 12:19:14,3000.25,QAR,refund,online,Lazada,Fashion,Qatar,Doha,False
82ff9e4e-b716-484f,b5f76f8d-e9dc-4bb4,2023-01-28 18:29:53,5930.45,JPY,withdrawal,mail,Rakuten,Home & Garden,Japan,Fukuoka,False
5d13a6cc-e075-4eb2,719ac202-2b89-4cb5,2023-02-24 12:05:49,8951.56,USD,purchase,in-branch,Allegro,Fashion,United States,San Francisco,False
47512310-674d-4d96,9268ff51-c07d-48be,2024-06-27 17:52:54,8812.7,GBP,refund,mail,ASOS,Fashion,United Kingdom,Edinburgh,False
1a8b7a8c-fd68-4c73,2ae67108-8bad-4af9,2023-06-04 20:39:41,674.56,AED,payment,in-branch,Temu,Electronics,UAE,Sharjah,False
b3bf5716-eeae-487d,48864c73-a556-4f10,2023-01-16 10:24:21,9334.08,EUR,refund,in-branch,Lazada,Electronics,Germany,Leipzig,True
1fb66f66-406d-49b4,348e5c54-e54f-43b2,2023-07-17 18:30:51,3333.91,INR,withdrawal,in-branch,Target,Sports & Outdoors,India,Jaipur,False
338fbedc-aeb0-4984,439c2dfc-8bc2-433d,2024-06-06 06:53:20,1414.9,QAR,refund,online,Uniqlo,Health & Beauty,Qatar,Al Wakrah,False
1c0950d6-f17d-4c5e,4957ea7d-0350-4b27,2023-03-03 10:23:23,5041.52,INR,deposit,in-branch,BigBasket,Fashion,India,Kolkata,False
390fc06c-9c99-4d46,ba78367b-fff5-46d2,2022-08-28 13:41:48,2483.87,GBP,purchase,online,Temu,Health & Beauty,United Kingdom,Edinburgh,False
8aea06b8-7deb-4fbd,2e474a28-ec7b-4f28,2023-05-04 21:06:18,7155.82,GBP,withdrawal,telephone,Uniqlo,Electronics,United Kingdom,Edinburgh,False
1a2c80e6-a965-4da6,0256da40-db42-4c06,2024-01-23 22:32:43,4850.35,JPY,withdrawal,telephone,Lazada,Sports & Outdoors,Japan,Sapporo,False
9383c2f5-33fe-407a,57a8a23e-ef27-4996,2023-10-02 13:39:27,9146.07,AED,payment,mail,Uniqlo,Electronics,UAE,Ajman,False
ae798efa-62d5-407e,e8a5e731-b542-4415,2022-09-12 21:43:35,9832.67,GBP,purchase,in-branch,Temu,Home & Garden,United Kingdom,Leeds,False
fa748b87-2545-468b,be55f6f4-40dc-4949,2024-05-23 14:06:23,4572.83,INR,transfer,mail,Uniqlo,Sports & Outdoors,India,Ahmedabad,False
6bc6be7f-03e9-448e,cdc24150-445c-46ce,2023-11-25 20:26:32,442.88,AED,refund,mobile,eBay,Fashion,UAE,Al Ain,False
d69a5194-57cc-473b,b7a5e763-eeba-4fb1,2023-03-28 14:09:18,5045.69,AED,refund,telephone,Allegro,Fashion,UAE,Ajman,False
c3a393c0-9cec-4c37,c6b3f7a5-d4be-41ed,2022-09-01 18:43:41,3322.44,INR,purchase,telephone,eBay,Health & Beauty,India,Jaipur,False
29ccd34c-3e92-4d60,a88456f5-7b8d-4b7f,2023-06-15 09:55:45,7468.87,GBP,transfer,ATM,Target,Fashion,United Kingdom,Leeds,False
192f7791-89cf-46a2,99d8439a-7f6c-4c2e,2023-11-20 04:58:34,6480.96,USD,withdrawal,mobile,Mediamarkt,Home & Garden,United States,San Francisco,False
55480c3a-1376-4156,dc140749-3ac6-44e1,2023-04-06 13:13:47,2084.29,AED,deposit,in-branch,Saturn,Fashion,UAE,Abu Dhabi,False
dbcf8fdb-fa57-4a99,e76c7c3a-0c4d-4c97,2023-09-20 08:21:40,3991.25,USD,purchase,online,ASOS,Health & Beauty,United States,San Francisco,False
c8ebfb5c-d001-4ca3,5cda087d-9cfc-4d65,2023-11-24 11:53:30,3773.6,INR,transfer,online,BigBasket,Electronics,India,Pune,False
0ebe60a0-4aee-490e,25c01621-d723-41c2,2023-07-08 17:48:57,810.17,QAR,payment,mobile,Mediamarkt,Electronics,Qatar,Al Khor,False
97862dcc-b93e-4597,ed30e367-12da-4691,2024-08-07 13:21:50,9272.76,AED,deposit,in-branch,Lazada,Fashion,UAE,Al Ain,False
3d00faa0-826b-43ff,b8b20b35-f39f-456e,2024-01-17 12:54:04,8760.24,EUR,payment,mail,Allegro,Sports & Outdoors,Germany,Stuttgart,False
83c60fa6-3aaf-480b,2a0cad4d-4fed-482e,2024-05-10 18:27:13,1450.46,JPY,transfer,mobile,eBay,Sports & Outdoors,Japan,Osaka,False
f9dd721f-ee68-4cf6,fc98617a-5ce6-49ba,2024-03-30 19:48:22,9931.65,INR,payment,mail,Temu,Sports & Outdoors,India,Lucknow,False
72c3f346-df1d-4e3f,e2cc25f1-16ea-4b34,2023-02-15 03:45:32,6212.0,INR,refund,online,Rakuten,Home & Garden,India,Ahmedabad,False
82c2d076-70c2-47c4,1451756d-751a-4c61,2022-10-09 13:48:54,9878.47,JPY,payment,mail,Lazada,Electronics,Japan,Nagoya,False
5d2551f0-f19a-4459,31b535dd-0aeb-4f64,2023-06-03 11:38:11,112.74,GBP,refund,in-branch,Uniqlo,Health & Beauty,United Kingdom,Edinburgh,False
24d8481f-3a6e-4992,19c18bca-d83d-4653,2024-08-02 15:58:13,2770.45,AED,payment,ATM,Rakuten,Sports & Outdoors,UAE,Al Ain,False
200bc3e5-e9fb-4f95,7233a36f-b8a9-4547,2024-06-26 00:48:26,170.45,USD,deposit,ATM,Rakuten,Home & Garden,United States,Boston,False
2674ed9d-ae57-4340,4450a408-17a6-45a5,2023-01-08 04:40:41,5516.92,EUR,withdrawal,mobile,Rakuten,Fashion,Germany,Dresden,False
6b36b125-c4d7-40be,dd1baaf5-cc28-449b,2023-04-18 16:43:37,8273.85,GBP,transfer,online,Zalando,Sports & Outdoors,United Kingdom,Cardiff,False
0c585153-8b94-49f6,c80ff50c-be80-4083,2023-11-13 18:06:29,9087.05,JPY,purchase,online,Mediamarkt,Health & Beauty,Japan,Osaka,False
0d8d9ca1-5c56-4e90,9c529ba4-45aa-4ea7,2023-05-17 10:15:02,8367.02,EUR,withdrawal,online,Lazada,Home & Garden,Germany,Nuremberg,False
76734c2d-d163-40a8,fa4d32cf-af9b-4498,2023-02-20 06:16:46,5235.42,INR,withdrawal,ATM,Temu,Electronics,India,Pune,False
d8b7f3a8-eb13-4a39,6771ab37-4fdf-4494,2023-10-05 02:19:49,8083.73,JPY,deposit,mail,Temu,Sports & Outdoors,Japan,Fukuoka,False
a0518523-b0c6-4636,5cda087d-9cfc-4d65,2024-02-26 17:37:23,6506.17,INR,deposit,ATM,Target,Health & Beauty,India,Pune,False
9bc1c4e6-c68e-43b0,110ab5da-f8de-49cb,2022-11-15 23:02:10,6073.45,QAR,transfer,mobile,ASOS,Sports & Outdoors,Qatar,Umm Salal,False
2df5f597-0c46-4af2,40627db6-6dd5-4e4c,2022-11-04 19:55:38,3220.33,AED,purchase,ATM,Allegro,Fashion,UAE,Ajman,False
8cf93d94-29fa-4ae2,d647f3ef-f2ff-4f73,2024-07-25 10:12:15,5631.75,INR,withdrawal,online,ASOS,Home & Garden,India,Ahmedabad,False
fed5907c-c3b4-458a,a1775a63-0784-47a5,2022-08-19 01:33:58,5926.92,QAR,refund,mobile,Mediamarkt,Sports & Outdoors,Qatar,Umm Salal,False
0a023e54-6419-4b29,c619b150-5fa3-48ec,2022-10-24 07:00:31,776.46,GBP,withdrawal,mobile,Target,Sports & Outdoors,United Kingdom,Bristol,False
cba5d760-8c00-4090,2ae67108-8bad-4af9,2024-02-18 19:39:07,2914.64,AED,transfer,online,Uniqlo,Home & Garden,UAE,Sharjah,False
82450f5a-d9ef-4f86,09b15a3b-194e-475f,2023-07-24 02:57:38,6865.78,JPY,refund,mobile,Target,Fashion,Japan,Nagoya,False
39276b3a-9468-4f36,24331fc0-7453-4633,2023-12-15 22:35:36,4522.46,GBP,withdrawal,in-branch,ASOS,Sports & Outdoors,United Kingdom,Sheffield,False
61fb5645-0d66-410b,d2549691-bad0-4a84,2024-06-10 17:12:29,9853.21,GBP,refund,mail,Rakuten,Health & Beauty,United Kingdom,Bristol,False
337713bd-7c20-4021,cfe4c56d-4a07-423e,2023-10-26 18:10:39,6687.61,AED,payment,telephone,Saturn,Electronics,UAE,Sharjah,False
